<NUMBER OF ZONES> 8											
<NUMBER OF NODES> 8
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 26											
<END OF METADATA>	

~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
1	4	26500	3	3	0.15	4	0	0	1
1	7	22900	3	3	0.15	4	0	0	1
1	8	29300	2	2	0.15	4	0	0	1
2	4	19850	1	1	0.15	4	0	0	1
2	6	19900	3	3	0.15	4	0	0	1
2	7	27800	2	2	0.15	4	0	0	1
3	4	26550	2	2	0.15	4	0	0	1
3	5	10900	3	3	0.15	4	0	0	1
3	8	24100	2	2	0.15	4	0	0	1
4	1	26500	3	3	0.15	4	0	0	1
4	2	19850	1	1	0.15	4	0	0	1
4	3	26550	2	2	0.15	4	0	0	1
4	5	39150	6	6	0.15	4	0	0	1
5	3	10900	3	3	0.15	4	0	0	1
5	4	39150	6	6	0.15	4	0	0	1
5	6	44450	7	7	0.15	4	0	0	1
6	2	19900	3	3	0.15	4	0	0	1
6	5	44450	7	7	0.15	4	0	0	1
6	7	40400	8	8	0.15	4	0	0	1
7	1	22900	3	3	0.15	4	0	0	1
7	2	27800	2	2	0.15	4	0	0	1
7	6	40400	8	8	0.15	4	0	0	1
7	8	28000	7	7	0.15	4	0	0	1
8	1	29300	2	2	0.15	4	0	0	1
8	3	24100	2	2	0.15	4	0	0	1
8	7	28000	7	7	0.15	4	0	0	1
