0,1,6,25900.2,0.15,4
0,2,4,23403.47,0.15,4
1,0,6,25900.2,0.15,4
1,5,5,4958.18,0.15,4
2,0,4,23403.47,0.15,4
2,3,4,17110.52,0.15,4
2,11,4,23403.47,0.15,4
3,2,4,17110.52,0.15,4
3,4,2,17782.79,0.15,4
3,10,6,4908.83,0.15,4
4,3,2,17782.79,0.15,4
4,5,4,4948,0.15,4
4,8,5,10000,0.15,4
5,1,5,4958.18,0.15,4
5,4,4,4948,0.15,4
5,7,2,4898.59,0.15,4
6,7,3,7841.81,0.15,4
6,17,2,23403.47,0.15,4
7,5,2,4898.59,0.15,4
7,6,3,7841.81,0.15,4
7,8,10,5050.19,0.15,4
7,15,5,5045.82,0.15,4
8,4,5,10000,0.15,4
8,7,10,5050.19,0.15,4
8,9,3,13915.79,0.15,4
9,8,3,13915.79,0.15,4
9,10,5,10000,0.15,4
9,14,6,13512,0.15,4
9,15,4,4854.92,0.15,4
9,16,8,4993.51,0.15,4
10,3,6,4908.83,0.15,4
10,9,5,10000,0.15,4
10,11,6,4908.83,0.15,4
10,13,4,4876.51,0.15,4
11,2,4,23403.47,0.15,4
11,10,6,4908.83,0.15,4
11,12,3,25900.2,0.15,4
12,11,3,25900.2,0.15,4
12,23,4,5091.26,0.15,4
13,10,4,4876.51,0.15,4
13,14,5,5127.53,0.15,4
13,22,4,4924.79,0.15,4
14,9,6,13512,0.15,4
14,13,5,5127.53,0.15,4
14,18,3,14564.75,0.15,4
14,21,3,9599.18,0.15,4
15,7,5,5045.82,0.15,4
15,9,4,4854.92,0.15,4
15,16,2,5229.91,0.15,4
15,17,3,19679.9,0.15,4
16,9,8,4993.51,0.15,4
16,15,2,5229.91,0.15,4
16,18,2,4823.95,0.15,4
17,6,2,23403.47,0.15,4
17,15,3,19679.9,0.15,4
17,19,4,23403.47,0.15,4
18,14,3,14564.75,0.15,4
18,16,2,4823.95,0.15,4
18,19,4,5002.61,0.15,4
19,17,4,23403.47,0.15,4
19,18,4,5002.61,0.15,4
19,20,6,5059.91,0.15,4
19,21,5,5075.7,0.15,4
20,19,6,5059.91,0.15,4
20,21,2,5229.91,0.15,4
20,23,3,4885.36,0.15,4
21,14,3,9599.18,0.15,4
21,19,5,5075.7,0.15,4
21,20,2,5229.91,0.15,4
21,22,4,5000,0.15,4
22,13,4,4924.79,0.15,4
22,21,4,5000,0.15,4
22,23,2,5078.51,0.15,4
23,12,4,5091.26,0.15,4
23,20,3,4885.36,0.15,4
23,22,2,5078.51,0.15,4
