VulLink,NRI,wNRI,UNPM
11,7762173.199656301,0.8351442013311142,0.021880347231072437
22,9527636.5702364,5.723475892956185,0.07777677932724938
33,8402596.483020099,2.6086614309484175,0.04324119740023155
44,9059714.978163999,4.429246899611759,0.07213487088558342
66,8967272.4988275,4.170164107043815,0.06492438331824704
5,8725054.2944611,3.503410313366612,0.06360698085086826
34,8542920.653903801,2.997247470881863,0.06606004528142374
70,7917718.072572403,1.2645254159733776,0.030064831023544576
55,10153828.683528498,7.45870774819745,0.13791499098540091
14,7761364.747157501,0.8315767831392127,0.019689466413540812
