VulLink,ID,Tail,Head,T0,Flow,Cap,Alpha,Beta,Cost
-1,0,0,1,6,2656.57,25900.2,0.15,4,6.0001
-1,1,0,2,4,6143.43,23403.5,0.15,4,4.00285
-1,2,1,0,6,2703.66,25900.2,0.15,4,6.00011
-1,3,1,5,5,6456.57,4958.18,0.15,4,7.15665
-1,4,2,0,4,6096.34,23403.5,0.15,4,4.00276
-1,5,2,3,4,15122.7,17110.5,0.15,4,4.36611
-1,6,2,11,4,10342.4,23403.5,0.15,4,4.02288
-1,7,3,2,4,14801.7,17110.5,0.15,4,4.336
-1,8,3,4,2,19792.5,17782.8,0.15,4,2.46039
-1,9,3,10,6,5816.43,4908.83,0.15,4,7.77402
-1,10,4,3,2,19653.7,17782.8,0.15,4,2.4476
-1,11,4,5,4,9621.82,4948,0.15,4,12.5795
-1,12,4,8,5,16395.6,10000,0.15,4,10.4197
-1,13,5,1,5,6503.66,4958.18,0.15,4,7.22025
-1,14,5,4,4,9569.63,4948,0.15,4,12.3949
-1,15,5,7,2,12149.1,4898.59,0.15,4,13.3506
-1,16,6,7,3,12467.9,7841.81,0.15,4,5.87557
-1,17,6,17,2,15613.2,23403.5,0.15,4,2.05943
-1,18,7,5,2,12144,4898.59,0.15,4,13.3315
-1,19,7,6,3,12273.2,7841.81,0.15,4,5.7001
-1,20,7,8,10,7317.58,5050.19,0.15,4,16.6119
-1,21,7,15,5,8195.56,5045.82,0.15,4,10.2197
-1,22,8,4,5,16308.9,10000,0.15,4,10.306
-1,23,8,7,10,7168.99,5050.19,0.15,4,16.0911
-1,24,8,9,3,22188.4,13915.8,0.15,4,5.90861
-1,25,9,8,3,22053.1,13915.8,0.15,4,5.83833
-1,26,9,10,5,17694.7,10000,0.15,4,12.3525
-1,27,9,14,6,23242.6,13512,0.15,4,13.8796
-1,28,9,15,4,11274.9,4854.92,0.15,4,21.4529
-1,29,9,16,8,8083.88,4993.51,0.15,4,16.2421
-1,30,10,3,6,5734.28,4908.83,0.15,4,7.6759
-1,31,10,9,5,17658.1,10000,0.15,4,12.2919
-1,32,10,11,6,8509.33,4908.83,0.15,4,14.1267
-1,33,10,13,4,9678.26,4876.51,0.15,4,13.309
-1,34,11,2,4,10616.3,23403.5,0.15,4,4.02541
-1,35,11,10,6,8254.91,4908.83,0.15,4,13.1975
-1,36,11,12,3,13339.1,25900.2,0.15,4,3.03166
-1,37,12,11,3,13458.6,25900.2,0.15,4,3.03281
-1,38,12,23,4,11122.2,5091.26,0.15,4,17.6649
-1,39,13,10,4,9913.91,4876.51,0.15,4,14.2493
-1,40,13,14,5,9107.48,5127.53,0.15,4,12.4649
-1,41,13,22,4,8404.86,4924.79,0.15,4,9.09006
-1,42,14,9,6,23076.3,13512,0.15,4,13.6565
-1,43,14,13,5,9294.5,5127.53,0.15,4,13.0972
-1,44,14,18,3,19330.8,14564.8,0.15,4,4.39635
-1,45,14,21,3,18373,9599.18,0.15,4,9.03947
-1,46,15,7,5,8144.33,5045.82,0.15,4,10.0904
-1,47,15,9,4,11153.5,4854.92,0.15,4,20.7134
-1,48,15,16,2,11606.1,5229.91,0.15,4,9.27585
-1,49,15,17,3,15683.9,19679.9,0.15,4,3.18153
-1,50,16,9,8,8172.86,4993.51,0.15,4,16.611
-1,51,16,15,2,11591.5,5229.91,0.15,4,9.23947
-1,52,16,18,2,9938.3,4823.95,0.15,4,7.40453
-1,53,17,6,2,15808,23403.5,0.15,4,2.06245
-1,54,17,15,3,15525.8,19679.9,0.15,4,3.17432
-1,55,17,19,4,19752,23403.5,0.15,4,4.30442
-1,56,18,14,3,19402.1,14564.8,0.15,4,4.41708
-1,57,18,16,2,10012.7,4823.95,0.15,4,7.5683
-1,58,18,19,4,8707.49,5002.61,0.15,4,9.50728
-1,59,19,17,4,19688.6,23403.5,0.15,4,4.30053
-1,60,19,18,4,8853.27,5002.61,0.15,4,9.88545
-1,61,19,20,6,6623.29,5059.91,0.15,4,8.64219
-1,62,19,21,5,7237.6,5075.7,0.15,4,8.10067
-1,63,20,19,6,6571.48,5059.91,0.15,4,8.56049
-1,64,20,21,2,8680.52,5229.91,0.15,4,4.27681
-1,65,20,23,3,10050.8,4885.36,0.15,4,11.0617
-1,66,21,14,3,18222.4,9599.18,0.15,4,8.8439
-1,67,21,19,5,7271.82,5075.7,0.15,4,8.15975
-1,68,21,20,2,8770.51,5229.91,0.15,4,4.37271
-1,69,21,22,4,9796.75,5000,0.15,4,12.843
-1,70,22,13,4,8453.5,4924.79,0.15,4,9.2089
-1,71,22,21,4,9770.39,5000,0.15,4,12.7482
-1,72,22,23,2,8056.64,5078.51,0.15,4,3.90017
-1,73,23,12,4,11141.7,5091.26,0.15,4,17.7611
-1,74,23,20,3,9908.99,4885.36,0.15,4,10.6163
-1,75,23,22,2,8078.92,5078.51,0.15,4,3.92127
5,0,0,1,6,7344.94,25900.2,0.15,4,6.00582
5,1,0,2,4,1455.06,23403.5,0.15,4,4.00001
5,2,1,0,6,3152.13,25900.2,0.15,4,6.0002
5,3,1,5,5,11144.9,4958.18,0.15,4,24.1462
5,4,2,0,4,5647.87,23403.5,0.15,4,4.00204
5,5,2,3,4,3.3981e-06,1e-06,0.15,4,84.001
5,6,2,11,4,10947.3,23403.5,0.15,4,4.02872
5,7,3,2,4,12547.3,17110.5,0.15,4,4.1735
5,8,3,4,2,11085,17782.8,0.15,4,2.0453
5,9,3,10,6,4924.29,4908.83,0.15,4,6.91139
5,10,4,3,2,19875.3,17782.8,0.15,4,2.46814
5,11,4,5,4,7612.81,4948,0.15,4,7.36212
5,12,4,8,5,12105.6,10000,0.15,4,6.61067
5,13,5,1,5,6952.13,4958.18,0.15,4,7.89897
5,14,5,4,4,11296.3,4948,0.15,4,20.2994
5,15,5,7,2,11715,4898.59,0.15,4,11.813
5,16,6,7,3,13133.7,7841.81,0.15,4,6.54072
5,17,6,17,2,16943.4,23403.5,0.15,4,2.08241
5,18,7,5,2,11205.6,4898.59,0.15,4,10.2145
5,19,7,6,3,12400.9,7841.81,0.15,4,5.81419
5,20,7,8,10,7803.08,5050.19,0.15,4,18.5491
5,21,7,15,5,8224.7,5045.82,0.15,4,10.2944
5,22,8,4,5,17212.4,10000,0.15,4,11.5831
5,23,8,7,10,6580.1,5050.19,0.15,4,14.323
5,24,8,9,3,19558.2,13915.8,0.15,4,4.75588
5,25,9,8,3,23542,13915.8,0.15,4,6.686
5,26,9,10,5,17913.1,10000,0.15,4,12.7222
5,27,9,14,6,21458.4,13512,0.15,4,11.7248
5,28,9,15,4,10981.6,4854.92,0.15,4,19.7067
5,29,9,16,8,7731.31,4993.51,0.15,4,14.8955
5,30,10,3,6,8781.28,4908.83,0.15,4,15.2165
5,31,10,9,5,19261.3,10000,0.15,4,15.3229
5,32,10,11,6,8661.49,4908.83,0.15,4,14.7237
5,33,10,13,4,9503.32,4876.51,0.15,4,12.654
